Municipio,Soja_Qtd_T,Soja_Valor_Mil,Soja_Prod_KgHa,Soja_AreaPlant_Ha,Milho_Qtd_T,Milho_Valor_Mil,Milho_Prod_KgHa,Milho_AreaPlant_Ha,Cafe_Qtd_T,Cafe_Valor_Mil,Cafe_Prod_KgHa,Cacau_Qtd_T,Cacau_Valor_Mil,Cacau_Prod_KgHa,V1612,V1613,Valor_Agricola_Total_Mil,PIB_Agro_Mil,Gado_Cabecas,Leite_Mil_Litros
Alta Floresta D'Oeste,6211.0,10061.0,3660.0,1697.0,8162,7815,4414,1850,15362,261745,3788,34.0,1419.0,596.0,35693,268317,304010,1046343,585500,4007
Alto Alegre dos Parecis,13099.0,21218.0,3660.0,3579.0,12659,11322,4408,2872,15351,260929,3755,4.0,211.0,571.0,38819,264105,302924,575129,272660,4453
Alto Paraíso,101116.0,177460.0,3420.0,29566.0,53315,50855,4443,12100,959,14851,2788,2.0,81.0,400.0,246826,27816,274642,667923,421240,3150
Alvorada D'Oeste,3392.0,5729.0,3300.0,1060.0,108,87,3600,30,5394,97658,4181,10.0,444.0,1000.0,12103,98697,110800,486626,324900,14681
Ariquemes,52734.0,93540.0,3300.0,15980.0,34889,29718,4430,7881,1049,16530,2835,324.0,14254.0,1178.0,134392,40213,174605,4383815,618967,14890
Buritis,4057.0,7475.0,3280.0,1237.0,8410,8373,3867,2175,10635,170605,2390,707.0,30274.0,1571.0,23982,243226,267208,1221008,648984,20963
Cabixi,110131.0,192973.0,3450.0,32000.0,104103,82599,4849,21470,72,1257,3000,6.0,286.0,667.0,285626,3883,289509,300832,120000,5351
Cacaulândia,1815.0,3215.0,3300.0,550.0,2659,2152,4791,555,58,909,1611,268.0,12457.0,631.0,11389,16610,27999,238989,341980,9701
Cacoal,23080.0,37386.0,3600.0,6411.0,13804,13157,4389,3145,17664,299228,3540,48.0,2550.0,457.0,68256,324098,392354,3848468,496250,12496
Campo Novo de Rondônia,3016.0,5359.0,3300.0,914.0,1710,1742,4071,420,837,14062,1947,320.0,13616.0,1905.0,23467,38341,61808,455251,538355,21434
Candeias do Jamari,105657.0,175232.0,3420.0,30894.0,47471,41640,4929,9630,837,16974,4249,30.0,1477.0,448.0,319353,30162,349515,1001610,400031,8403
Castanheiras,27300.0,42057.0,4200.0,6500.0,14997,14306,4830,3105,345,5839,3833,1.0,50.0,250.0,61369,7585,68954,138594,120500,4217
Cerejeiras,133866.0,225951.0,3350.0,40000.0,129685,102886,4899,26510,100,1771,3448,1.0,48.0,250.0,342232,2770,345002,1006389,99350,2602
Chupinguaia,169820.0,279491.0,3840.0,44269.0,170010,118258,5977,28483,109,1711,2271,1.0,48.0,500.0,403689,3234,406923,673990,388150,3805
Colorado do Oeste,7959.0,13346.0,3450.0,2310.0,8585,6255,4571,1880,84,1478,2400,22.0,1061.0,550.0,28245,4573,32818,580899,293550,10093
Corumbiara,183546.0,303264.0,3480.0,54743.0,178265,128956,5399,33020,50,830,2000,1.0,48.0,333.0,454054,1954,456008,509566,346200,7301
Costa Marques,24675.0,40844.0,3430.0,7224.0,20098,15479,4938,4070,581,10119,3320,8.0,311.0,1600.0,67404,15095,82499,413943,338560,6202
Cujubim,99612.0,173325.0,3650.0,27291.0,63530,52681,4949,12837,910,14537,3640,18.0,886.0,1200.0,264731,19275,284006,582148,304182,14348
Espigão D'Oeste,6600.0,10691.0,3470.0,1902.0,5600,5326,4017,1394,2148,36752,3703,2.0,102.0,400.0,31373,39417,70790,1023973,458000,16457
Governador Jorge Teixeira,0.0,0.0,0.0,0.0,720,645,3789,190,954,16313,3533,735.0,34932.0,1374.0,15546,59315,74861,320123,374840,18691
Guajará-Mirim,32725.0,54005.0,3400.0,9625.0,10150,8898,4833,2100,185,4391,2984,0.0,0.0,0.0,80661,6210,86871,1145034,170870,2012
Itapuã do Oeste,81075.0,126963.0,3450.0,23500.0,39856,34385,4979,8005,102,2318,2615,8.0,408.0,1143.0,201661,5423,207084,340162,102089,3045
Jaru,636.0,1019.0,3401.0,187.0,1740,1528,3867,450,596,9059,3656,2455.0,118190.0,1670.0,31507,138095,169602,2515558,627580,32381
Ji-Paraná,224.0,365.0,3294.0,68.0,2304,1975,4151,560,274,4910,3806,104.0,5239.0,813.0,14612,12016,26628,5824472,469800,22004
Machadinho D'Oeste,52700.0,89238.0,3400.0,15500.0,35771,29863,4818,7425,4776,76337,3461,557.0,23982.0,1921.0,145222,122019,267241,1055806,547050,31155
Ministro Andreazza,0.0,0.0,0.0,0.0,758,743,2569,295,5235,87915,3753,8.0,415.0,320.0,2993,94136,97129,440282,161980,6188
Mirante da Serra,4378.0,7190.0,3480.0,1324.0,8040,6791,4957,1622,1920,34925,4174,114.0,5502.0,1341.0,26385,41458,67843,380179,148980,15040
Monte Negro,0.0,0.0,0.0,0.0,237,224,3386,70,701,11871,3307,283.0,12660.0,1415.0,11566,43827,55393,526990,423267,16250
Nova Brasilândia D'Oeste,7052.0,11442.0,3600.0,1959.0,5109,4933,4582,1150,27683,468235,4012,10.0,478.0,500.0,18720,470978,489698,731952,259550,7452
Nova Mamoré,39620.0,64378.0,3430.0,11551.0,7635,6985,4772,1600,615,12208,2365,10.0,363.0,556.0,86684,20765,107449,1060566,1019780,32876
Nova União,736.0,1209.0,3698.0,209.0,1034,772,3413,305,362,6355,3620,161.0,6011.0,622.0,3784,14266,18050,193557,176600,10989
Novo Horizonte do Oeste,10133.0,16414.0,3406.0,2975.0,8550,7034,4171,2050,5980,101397,3669,3.0,116.0,500.0,27084,103756,130840,331958,173500,6381
Ouro Preto do Oeste,7232.0,11925.0,3600.0,2009.0,6068,4379,4966,1384,1104,18151,2984,1720.0,85979.0,1703.0,25001,107260,132261,1275479,410010,30993
Parecis,19243.0,29809.0,3680.0,5229.0,14120,13482,4893,2888,1512,25700,3600,1.0,53.0,500.0,48593,26727,75320,201510,202150,4900
Pimenta Bueno,7152.0,11078.0,3430.0,2085.0,5787,5527,4131,1401,540,8826,2700,2.0,99.0,400.0,29921,12730,42651,2124340,409500,4082
Pimenteiras do Oeste,197220.0,326604.0,3460.0,64000.0,197775,143062,4800,41205,39,748,2167,2.0,102.0,2000.0,533577,1124,534701,355185,115150,999
Porto Velho,163234.0,273396.0,3474.0,46994.0,96856,89572,4613,21000,6837,115133,2635,149.0,7228.0,500.0,767535,230169,997704,25402193,1794590,26221
Presidente Médici,0.0,0.0,0.0,0.0,153,113,4371,35,1064,19514,4015,25.0,1094.0,676.0,4635,26633,31268,776281,401800,18333
Primavera de Rondônia,2211.0,3425.0,4079.0,542.0,906,813,4314,210,590,9966,3278,1.0,50.0,1000.0,8683,10804,19487,131193,87980,2610
Rio Crespo,126359.0,222813.0,3560.0,35494.0,80080,64199,4800,16684,331,5367,2955,7.0,301.0,368.0,291124,8514,299638,265160,137750,1456
Rolim de Moura,28861.0,48365.0,3600.0,8017.0,21910,20832,5691,3850,5451,99326,3839,28.0,1429.0,400.0,81408,109757,191165,2287631,275010,10406
Santa Luzia D'Oeste,27237.0,44119.0,3236.0,8417.0,13453,12832,4144,3246,2464,41685,3520,8.0,365.0,615.0,64205,44944,109149,291887,208432,5946
Seringueiras,14754.0,24569.0,3300.0,4562.0,14957,11549,4733,3280,5003,88553,3787,17.0,668.0,405.0,49800,94620,144420,446997,291200,12560
São Felipe D'Oeste,10064.0,16328.0,3530.0,2851.0,11472,10776,4018,2860,780,13150,3768,42.0,2008.0,525.0,32678,20161,52839,177906,117520,4158
São Francisco do Guaporé,33500.0,55151.0,3560.0,9461.0,29235,20531,4909,5960,3217,56352,4109,2.0,91.0,1000.0,86787,59467,146254,716411,498550,16000
São Miguel do Guaporé,111240.0,183134.0,3600.0,30971.0,74689,52285,5278,14173,16094,281646,3855,22.0,1065.0,710.0,279812,284348,564160,1549192,286470,11582
Teixeirópolis,0.0,0.0,0.0,0.0,5,4,1667,5,124,2176,2696,109.0,5054.0,1677.0,2729,7524,10253,156426,119500,12609
Theobroma,6650.0,11328.0,3500.0,1900.0,6220,6121,4631,1343,1248,19261,3900,169.0,7931.0,612.0,31414,32764,64178,307754,317280,13307
Urupá,0.0,0.0,0.0,0.0,331,289,2758,120,358,5987,3034,93.0,4300.0,969.0,1635,10998,12633,370214,203800,21945
Vale do Anari,11846.0,21876.0,3320.0,3568.0,8820,7237,3882,2277,1065,17501,3227,26.0,1097.0,520.0,35721,19453,55174,257311,204086,13102
Vale do Paraíso,0.0,0.0,0.0,0.0,28,24,2800,10,379,6806,3158,35.0,1624.0,500.0,2135,9790,11925,225187,201461,14804
Vilhena,147842.0,252424.0,3481.0,42514.0,138884,100465,4879,28515,104,1757,2811,3.0,145.0,1000.0,584140,2882,587022,5115785,166500,4425
